"addon"
{
	"event_elysium_boss_aether"													"Проявление Пространства"
	"event_surge_of_knowledge_damage_Description"								"You gain 50 base damage."
	"event_surge_of_knowledge_endurance"										"Blessing: Inspiration of Endurance"
	"event_surge_of_knowledge_endurance_Description"							"You gain 350 health, 3 armor and 10% magic resistance."
	"event_surge_of_knowledge_greed"											"Blessing: Inspiration of Greed"
	"event_surge_of_knowledge_greed_Description"								"You gain 15% bonus gold whenever you receive gold."
	
	"event_grove_event_cut_the_trees"											"Mystical Trees"
	"event_grove_event_cut_the_trees_Description"								"While traveling, you come across a patch of trees with mystical powers. These would give a nice amount of gold to your party, but comes with the risk of angering the forest spirits.\nWhat do you do?\n[This event can be repeated, repeating it increases the difficulty of the fight]\n\nThis event is a team vote."
	"event_grove_event_cut_the_trees_option_1"									"Cut a few trees! <font color=\"red\">[%event_cut_trees%]</font>"
	"event_grove_event_cut_the_trees_option_2"									"Leave. [Nothing happens]"
	"event_cut_trees"															"Gain 250 gold, chance of a fight"
	"event_cut_trees_Description"												"This event is recurring. Cutting the trees will increase the fight's difficulty should it happen. Chance is 25%. Once the fight starts, you must win it."
	
	"event_grove_event_help_treant"												"Injured Treant"
	"event_grove_event_help_treant_Description"									"While traveling, you come across a scared, injured treant, running for his life. It pleads for help.\n\nThis event is a team vote."
	"event_grove_event_help_treant_option_1"									"Help it! <font color=\"yellow\">[%event_treant_fight%]</font>"
	"event_grove_event_help_treant_option_2"									"Ignore it. [Nothing happens]"
	"event_grove_event_help_treant_Reward1"										"After defeating its pursuers, the treant blesses you. You gain 25 health regeneration for the next 3 fights."
	"event_treant_fight"														"Fight"
	"event_treant_fight_Description"											"You will need to face various Wild enemies, winning will grant you rewards."
	
	"event_grove_event_the_river"												"The River"
	"event_grove_event_the_river_Description"									"While traveling, you come across a clear river, this would be a nice resting spot. What do you do while resting?"
	"event_grove_event_the_river_option_1"										"Drink. <font color=\"lawngreen\">[Gain %event_river_regeneration%.]</font>"
	"event_grove_event_the_river_option_2"										"Bathe. <font color=\"lawngreen\">[Gain %event_river_resistance%.]</font>"
	"event_grove_event_the_river_option_3"										"Swim. <font color=\"lawngreen\">[Gain %event_river_speed%.]</font>"
	"event_river_regeneration"													"Blessing: River's Vitality"
	"event_river_regeneration_Description"										"You gain 5 health regeneration."
	"event_river_resistance"													"Blessing: River's Shield"
	"event_river_resistance_Description"										"You gain 10% magic resistance."
	"event_river_speed"															"Blessing: River's Flow"
	"event_river_speed_Description"												"You gain 15 movement speed."
	
	"event_grove_event_well_of_youth"											"Well of Youth"
	"event_grove_event_well_of_youth_Description"								"While traveling, you come across a strange well, it has various runes carved into it. What do you do?"
	"event_grove_event_well_of_youth_option_1"									"Drink. <font color=\"yellow\">[Reset your ability points.]</font>"
	"event_grove_event_well_of_youth_option_2"									"Ignore. [Nothing happens]"
	
	"event_sepulcher_event_graverobber"											"The Graverobber"
	"event_sepulcher_event_graverobber_Description"								"While traveling, you come across a graverobber. He asks you for help, but digging graves in this place doesn't seem like a good idea. What do you do?"
	"event_sepulcher_event_graverobber_option_1"								"Help him. <font color=\"red\">[Afflicted with %event_graverobbers_sin%]</font>"
	"event_sepulcher_event_graverobber_option_2"								"Ignore. [Nothing happens]"
	"event_graverobbers_sin"													"Curse: Graverobber's Sins"
	"event_graverobbers_sin_Description"										"You lose all your remaining lives, but gain a Corrupt and Unique relic."
	
	"event_sepulcher_event_the_horde"											"The Horde"
	"event_sepulcher_event_the_horde_Description"								"While traveling, you are ambushed and are suddenly surrounded by a massive horde of enemies. Survive the Horde!"
	"event_sepulcher_event_the_horde_option_1"									"To battle! [Start combat.]"
	"event_sepulcher_event_the_horde_Reward1"									"After defeating the Horde, you feel stronger than before, you gained 10 bonus stats!"
	
	"event_sepulcher_event_tombstone"											"Endangered Tombstone"
	"event_sepulcher_event_tombstone_Description"								"While traveling, you encounter a spirit, asking you for assistance with its assailants. Every day scavengers try to attack its tombstone, which makes it unable to find peace. Will you help the spirit?\n\nThis event is a team vote."
	"event_sepulcher_event_tombstone_option_1"									"Help it. <font color=\"yellow\">[%event_tombstone_fight%]</font>"
	"event_sepulcher_event_tombstone_option_2"									"Ignore. [Nothing happens]"
	"event_sepulcher_event_tombstone_Reward1"									"The tombstone being completely unscathed pleases the spirit greatly, you gain one additional life and 30% evasion for the next 3 fights!"
	"event_sepulcher_event_tombstone_Reward2"									"The spirit blesses you, as its tombstone is mostly intact. You gain 30% evasion for the next 3 fights."
	"event_sepulcher_event_tombstone_Reward3"									"The Tombstone was broken, unfortunately your struggle has been for naught."
	"event_tombstone_fight"														"Fight"
	"event_tombstone_fight_Description"											"You will need to protect the tombstone from zombies, keeping it alive will grant you rewards."
	
	"event_solitude_event_demon_of_avarice"										"Demon of Avarice"
	"event_solitude_event_demon_of_avarice_Description"							"While traveling, you encounter a demon of avarice, they are known for carrying massive amounts of gold in their cheeks, you are sure beating it up will cause it to drop some, ATTACK!"
	"event_solitude_event_demon_of_avarice_option_1"							"Jump it! [Gain 2 gold per damage landed.]"
	
	"event_solitude_event_crossroads"											"The Crossroads"
	"event_solitude_event_crossroads_Description"								"While traveling, you encounter a crossroads, with a gloomy figure standing in the middle of it. He offers you a deal, he will grant you power, albeit at a cost."
	"event_solitude_event_crossroads_option_1"									"Accept. <font color=\"red\">[Afflicted with %event_crossroads_deal%]</font>"
	"event_solitude_event_crossroads_option_2"									"Ignore. [Nothing happens]"
	"event_crossroads_deal"														"Curse: Crossroads Deal"
	"event_crossroads_deal_Description"											"You lose 20% of your maximum health, but gain a random relic."
	
	"event_solitude_event_cursed_glove"											"Glove of Midas"
	"event_solitude_event_cursed_glove_Description"								"While traveling, you encounter a glove on a golden altar, you believe this to be the Glove of Midas."
	"event_solitude_event_cursed_glove_option_1"								"Aurify. <font color=\"yellow\">[Removes the item in your first item slot. Gain gold equal to its worth.]</font>"
	"event_solitude_event_cursed_glove_option_2"								"Ignore. [Nothing happens]"
	
	"event_solitude_event_devil_deal"											"Cursed Deal"
	"event_solitude_event_devil_deal_Description"								"While traveling, you encounter a travelling salesman. He asks you what you seek in life."
	"event_solitude_event_devil_deal_option_1"									"Simplicity. <font color=\"lawngreen\">[Gain a Generic relic]</font>"
	"event_solitude_event_devil_deal_option_2"									"Power. <font color=\"red\">[Afflicted with %event_deal_of_power%]</font>"
	"event_solitude_event_devil_deal_option_3"									"Specialization. <font color=\"yellow\">[Lose a random relic, gain a Unique relic.]</font>"
	"event_deal_of_power"														"Curse: Deal for Power"
	"event_deal_of_power_Description"											"You lose 30% of your maximum health, but gain a Corrupt relic."
	
	"event_grove_event_a_stick"													"A Stick"
	"event_grove_event_a_stick_Description"										"While traveling, you find a stick."
	"event_grove_event_a_stick_option_1"										"Take it. <font color=\"lawngreen\">[Gain relic: %relic_generic_stick%.]</font>"
	"event_grove_event_a_stick_option_2"										"Toss it. <font color=\"lawngreen\">[Gain %event_blessing_of_stick%.]</font>"
	"event_blessing_of_stick"													"Blessing: Threw Stick"
	"event_blessing_of_stick_Description"										"This blessing grants you 20 damage, attack speed and movement speed."
	
	"event_grove_event_tree_of_life"											"Tree of Life"
	"event_grove_event_tree_of_life_Description"								"While traveling, you find an enormous tree with fruit."
	"event_grove_event_tree_of_life_option_1"									"Eat fruit. <font color=\"lawngreen\">[Gain %event_tree_blessing_of_life%.]</font>"
	"event_grove_event_tree_of_life_option_2"									"Meditate. <font color=\"lawngreen\">[Gain %event_tree_blessing_of_wisdom%.]</font>"
	"event_grove_event_tree_of_life_option_3"									"Tend to the tree. <font color=\"lawngreen\">[Gain %event_tree_blessing_of_valor%.]</font>"
	"event_tree_blessing_of_life"												"Blessing: Tree's Surge of Life"
	"event_tree_blessing_of_life_Description"									"This blessing grants 400 health and 5 health regeneration."
	"event_tree_blessing_of_wisdom"												"Blessing: Tree's Surge of Wisdom"
	"event_tree_blessing_of_wisdom_Description"									"This blessing grants you 15 intelligence and 20% spell amplification."
	"event_tree_blessing_of_valor"												"Blessing: Tree's Surge of Valor"
	"event_tree_blessing_of_valor_Description"									"This blessing grants you 8 all stats."
	
	"event_grove_event_bloom_crystal"											"Bloom Crystal"
	"event_grove_event_bloom_crystal_Description"								"While traveling, you encounter some strange, flower-like crystals."
	"event_grove_event_bloom_crystal_option_1"									"Eat. <font color=\"lawngreen\">[Gain %event_bloom_harvest%.]</font>"
	"event_grove_event_bloom_crystal_option_2"									"Gather. <font color=\"lawngreen\">[Gain 1000 gold.]</font>"
	"event_grove_event_bloom_crystal_option_3"									"Destroy. <font color=\"yellow\">[50% chance random relic.]</font>"
	"event_bloom_harvest"														"Blessing: Bloom's Harvest"
	"event_bloom_harvest_Description"											"This blessing grants 400 health and 5 health regeneration."
	
	"event_grove_event_berries"													"Unknown Berries"
	"event_grove_event_berries_Description"										"While traveling, you encounter a bush with purple berries."
	"event_grove_event_berries_option_1"										"Eat. <font color=\"yellow\">[Gain %event_poison_hangover%]</font>"
	"event_grove_event_berries_option_2"										"Brew. <font color=\"red\">[Gain %event_noxious_potion%]</font>"
	"event_grove_event_berries_option_3"										"Ignore. [Nothing happens]"
	"event_poison_hangover"														"Curse: Poisonous Hangover"
	"event_poison_hangover_Description"											"You lose 800 maximum health for 3 battles or until death, but if you do not die while under this curse, you gain 400 maximum health when it expires."
	"event_noxious_potion"														"Curse: Noxious Potion"
	"event_noxious_potion_Description"											"You permanently lose 400 maximum health, but gain 2 skill points"
	
	"event_sepulcher_event_unmarked_grave"										"Unmarked Grave"
	"event_sepulcher_event_unmarked_grave_Description"							"While traveling, you encounter a shallow grave."
	"event_sepulcher_event_unmarked_grave_option_1"								"Dig. <font color=\"red\">[Gain relic: %relic_unique_rotting_flesh%, all healing reduced by 80%]</font>"
	"event_sepulcher_event_unmarked_grave_option_2"								"Leave. [Nothing happens.]"
	
	"event_sepulcher_event_cursed_cemetary"										"Cursed Cemetary"
	"event_sepulcher_event_cursed_cemetary_Description"							"While traveling, you encounter an old cemetary. The air hangs heavy and you feel uneasy.\n\nThis event is a team vote."
	"event_sepulcher_event_cursed_cemetary_option_1"							"Cleanse. <font color=\"yellow\">[%event_cursed_cemetary_fight%.]</font>"
	"event_sepulcher_event_cursed_cemetary_option_2"							"Leave. [Nothing happens.]"	
	"event_cursed_cemetary_fight"												"Fight"
	"event_cursed_cemetary_fight_Description"									"You will fight Undead bosses, receive 2 Unique or Corrupt relics upon winning."
	
	"event_sepulcher_event_blighted_land"										"Blighted Land"
	"event_sepulcher_event_blighted_land_Description"							"While traveling, you encounter a barren patch of life. With enough effort, you could possibly bring it back to life."
	"event_sepulcher_event_blighted_land_option_1"								"Cleanse. <font color=\"yellow\">[Gain %event_blighted_land_cleanse%]</font>"
	"event_sepulcher_event_blighted_land_option_2"								"Rest. <font color=\"yellow\">[Gain %event_blighted_land_rest%]</font>"
	"event_sepulcher_event_blighted_land_option_3"								"Leave. [Nothing happens.]"
	"event_blighted_land_cleanse"												"Curse: Haunted Vitality"
	"event_blighted_land_cleanse_Description"									"You gain 800 health, but all healing is reduced by 25%"
	"event_blighted_land_rest"													"Curse: Haunted Growth"
	"event_blighted_land_rest_Description"										"You gain +15 all stats, but all healing is reduced by 25%"
	
	"event_sepulcher_event_withered_tree"										"Withered Tree"
	"event_sepulcher_event_withered_tree_Description"							"While traveling, you find encounter a withered tree. It feels powerful, but somehow it feels... Wrong."
	"event_sepulcher_event_withered_tree_option_1"								"Burn. <font color=\"lawngreen\">[Gain %event_withered_tree_burn%.]</font>"
	"event_sepulcher_event_withered_tree_option_2"								"Cut. <font color=\"lawngreen\">[Gain 500 gold.]</font>"
	"event_withered_tree_burn"													"Blessing: Withered Incense"
	"event_withered_tree_burn_Description"										"You gain 25% bonus experience for 3 battles."
	
	"event_sepulcher_event_ominous_tome"										"Ominous Tome"
	"event_sepulcher_event_ominous_tome_Description"							"While traveling, you enter an abandoned chapel, within it you encounter an ominous looking book with bindings that appear to be fashioned out of skin.\n\nThis event is a team vote."
	"event_sepulcher_event_ominous_tome_option_1"								"Read. <font color=\"yellow\">[Gain %event_ominous_tome_read%]</font>"
	"event_sepulcher_event_ominous_tome_option_2"								"Destroy. <font color=\"red\">[%event_ominous_tome_destroy%]</font>"
	"event_sepulcher_event_ominous_tome_option_3"								"Ignore. [Nothing happens.]"
	"event_ominous_tome_read"													"Curse: Eldritch Knowledge"
	"event_ominous_tome_read_Description"										"The entire team gains +1 life and +80 attack damage, but lowers maximum health by 600."
	"event_ominous_tome_destroy"												"Fight"
	"event_ominous_tome_destroy_Description"									"Fight Undead bosses and elites, upon winning receive a Corrupt relic."
	
	"event_sepulcher_event_ruined_cathedral"									"Ruined Cathedral"
	"event_sepulcher_event_ruined_cathedral_Description"						"While traveling, you find a ruined cathedral. You smell the stench of the undead inside.\n\nThis event is a team vote."
	"event_sepulcher_event_ruined_cathedral_option_1"							"Pray. <font color=\"lawngreen\">[Gain %event_ruined_cathedral_pray%]</font>"
	"event_sepulcher_event_ruined_cathedral_option_2"							"Purge. <font color=\"red\">[%event_ruined_cathedral_purge%]</font>"
	"event_ruined_cathedral_pray"												"Blessing: Hollow Prayer"
	"event_ruined_cathedral_pray_Description"									"The entire team gains gain 2 health regeneration and 5% magic resistance."
	"event_ruined_cathedral_purge"												"Fight"
	"event_ruined_cathedral_purge_Description"									"Fight Undead bosses and elites, upon winning receive a Corrupt and Generic relic."
	
	"event_sepulcher_event_plague_doctor"										"Plague Doctor"
	"event_sepulcher_event_plague_doctor_Description"							"While traveling, you meet a plague doctor. They offer you a strange concoction."
	"event_sepulcher_event_plague_doctor_option_1"								"Drink. <font color=\"red\">[Gain %event_plague_doctor_drink%]</font>"
	"event_sepulcher_event_plague_doctor_option_2"								"Decline. [Nothing happens.]"
	"event_plague_doctor_drink"													"Curse: Unholy Concoction"
	"event_plague_doctor_drink_Description"										"You gain +80 damage, +32% spell amplification and 20 movement speed, but lose 10 armor and 25% magic resistance."
	
	"event_sepulcher_event_abandoned_shack"										"Abandoned Shack"
	"event_sepulcher_event_abandoned_shack_Description"							"While traveling, you encounter an abandoned shack. What do you do?\n\nThis event is a team vote."
	"event_sepulcher_event_abandoned_shack_option_1"							"<font color=\"yellow\">%event_abandoned_shack_investigate%.</font>"
	"event_sepulcher_event_abandoned_shack_option_2"							"Ignore."
	"event_abandoned_shack_investigate"											"Investigate"
	"event_abandoned_shack_investigate_Description"								"There is a chance to fight Undead bosses and elites and a seperate chance to find gold or relics."
	"event_sepulcher_event_abandoned_shack_Reward1"								"You found 500 gold!"
	"event_sepulcher_event_abandoned_shack_Reward2"								"You found a relic!"
	"event_sepulcher_event_abandoned_shack_Reward3"								"While rummaging around, you have alerted several entities to your presence!"
	"event_sepulcher_event_abandoned_shack_Reward4"								"While rummaging around, you have alerted a wailing banshee to your presence!"
	
	"event_elysium_event_silent_guardian"										"Silent Guardian"
	"event_elysium_event_silent_guardian_Description"							"While traveling, you find a strange, stone statue. You feel like touching it."
	"event_elysium_event_silent_guardian_option_1"								"Touch. <font color=\"red\">[WARNING: Become %event_blessing_of_ethereal%]</font>"
	"event_elysium_event_silent_guardian_option_2"								"Ignore. [Nothing happens.]"
	"event_blessing_of_ethereal"												"Ethereal"
	"event_blessing_of_ethereal_Description"									"Ethereal grants you immunity to physical damage, but increases magic damage taken by 100% and disarms you."
	
	"event_elysium_event_angelic_cache"											"Angelic Cache"
	"event_elysium_event_angelic_cache_Description"								"While traveling, you find a hidden chest, there are strange trinkets in it. Which will you take?"
	"event_elysium_event_angelic_cache_option_1"								"Vial. <font color=\"lawngreen\">[Gain relic: %relic_generic_angelic_water%]</font>"
	"event_elysium_event_angelic_cache_option_2"								"Bottle. <font color=\"lawngreen\">[Gain relic: %relic_generic_breath_of_life%]</font>"
	"event_elysium_event_angelic_cache_option_3"								"Feather. <font color=\"lawngreen\">[Gain relic: %relic_generic_seraphims_feather%]</font>"
	
	"event_elysium_event_safe_haven"											"Safe Haven"
	"event_elysium_event_safe_haven_Description"								"While traveling, you find a little clearing, giving you time for resting. How do you spend your time?"
	"event_elysium_event_safe_haven_option_1"									"Rest. <font color=\"lawngreen\">[Gain %event_safe_haven_rest%.]</font>"
	"event_elysium_event_safe_haven_option_2"									"Train. <font color=\"lawngreen\">[Gain %event_safe_haven_train%.]</font>"
	"event_elysium_event_safe_haven_option_3"									"Study. <font color=\"lawngreen\">[Gain %event_safe_haven_study%.]</font>"
	"event_safe_haven_rest"														"Blessing: Haven's Rest"
	"event_safe_haven_rest_Description"											"You gain 500 maximum health."
	"event_safe_haven_train"													"Blessing: Haven's Practice"
	"event_safe_haven_train_Description"										"You gain 30 base damage and attack speed."
	"event_safe_haven_study"													"Blessing: Haven's Study"
	"event_safe_haven_study_Description"										"You gain 350 maximum mana and 15% spell amplification."
	
	"event_solitude_event_demon_shrine"											"Corrupt Shrine"
	"event_solitude_event_demon_shrine_Description"								"While traveling, you come across a shrine, clearly corrupted by demonic powers.\n\nThis event is a team vote."
	"event_solitude_event_demon_shrine_option_1"								"Pray. <font color=\"yellow\">[Gain %event_demon_shrine_pray%.]</font>"
	"event_solitude_event_demon_shrine_option_2"								"Destroy. <font color=\"red\">[%event_demon_shrine_destroy%.]</font>"
	"event_solitude_event_demon_shrine_option_3"								"Leave. [Nothing happens.]"
	"event_demon_shrine_pray"													"Curse: Corrupted by Greed"
	"event_demon_shrine_pray_Description"										"You gain 2000 gold, but lose 10 armor and 20% magic resistance."
	"event_demon_shrine_destroy"												"Fight"
	"event_demon_shrine_destroy_Description"									"Fight Demonic elites, upon winning receive a Corrupt and Generic relic."
	"event_solitude_event_demon_shrine_Reward1"									"After praying, you feel your pockets line up with gold."
	
	"event_solitude_event_cultist_ritual"										"Cultist Ritual"
	"event_solitude_event_cultist_ritual_Description"							"While traveling, you see a few cultists chanting incantations in the distance.\n\nThis event is a team vote."
	"event_solitude_event_cultist_ritual_option_1"								"Stop them. <font color=\"red\">[%event_cultist_ritual_stop%]</font>"
	"event_solitude_event_cultist_ritual_option_2"								"Join them. <font color=\"yellow\">[Gain %event_cultist_ritual_join%]</font>"
	"event_solitude_event_cultist_ritual_option_3"								"Avoid them. [Nothing happens.]"
	"event_cultist_ritual_join"													"Curse: Corrupt Gift"
	"event_cultist_ritual_join_Description"										"You gain 2 Corrupt relic, but you can no longer heal."
	"event_cultist_ritual_stop"													"Fight"
	"event_cultist_ritual_stop_Description"										"Fight multiple Warlocks, upon winning receive increased gold and experience."
	"event_solitude_event_cultist_ritual_Reward1"								"The cultists share the spoils with you, granting you Corrupt relics."
	
	"event_solitude_event_lake_of_lava"											"Lake of Lava"
	"event_solitude_event_lake_of_lava_Description"								"While traveling, your travels are barred by a massive lake of lava."
	"event_solitude_event_lake_of_lava_option_1"								"Vault over. <font color=\"lawngreen\">[Gain %event_lake_of_lava_vault%.]</font>"
	"event_solitude_event_lake_of_lava_option_2"								"Path around. <font color=\"lawngreen\">[Gain %event_lake_of_lava_path%.]</font>"
	"event_solitude_event_lake_of_lava_option_3"								"Swim across. <font color=\"lawngreen\">[Gain %event_lake_of_lava_swim%.]</font>"
	"event_lake_of_lava_vault"													"Blessing: Lava's Dexterity"
	"event_lake_of_lava_vault_Description"										"You gain 10 agility."
	"event_lake_of_lava_path"													"Blessing: Lava's Intellect"
	"event_lake_of_lava_path_Description"										"You gain 15 intelligence."
	"event_lake_of_lava_swim"													"Blessing: Lava's Constitution"
	"event_lake_of_lava_swim_Description"										"You gain 12 strength."
	
	"event_solitude_event_ominous_pentagram"									"Foreboding Pentagram"
	"event_solitude_event_ominous_pentagram_Description"						"While traveling, you encounter a pentagram on the ground. The glyphs sizzle with power.\n\nThis event is a team vote."
	"event_solitude_event_ominous_pentagram_option_1"							"Touch. <font color=\"red\">[%event_ominous_pentagram_touch%.]</font>"
